ID da fila;ID do pedido;Data do pedido;Data de envio;Modo de envio;ID do cliente;Nome do cliente;Segmento;Cidade;Estado;País/Região;Região;ID do produto;Categoria;Sub-categoria;Nome do produto;Vendas;Quantidade;Desconto;Lucro
15;MX-2021-135706;18/10/2021;23/10/2021;Classe padrão;JA-15625;Júlia Almeida;Varejo;Brasília;Distrito Federal;Brasil;Sul;MAT-AR-10002737;Material de escritório;Arte;Stanley Tela, Embalagem tipo bulk;1326,4;4;0;357,6
16;MX-2021-135706;18/10/2021;23/10/2021;Classe padrão;JA-15625;Júlia Almeida;Varejo;Brasília;Distrito Federal;Brasil;Sul;MAT-CO-10002418;Material de escritório;Colchetes;Advantus Prendedores de papel, Metal;129,4;1;0;10,2
17;US-2020-126655;27/06/2020;02/07/2020;Classe padrão;GO-14785;Giovanna Oliveira;Grande Empresa;San Miguelito;Panamá;Panamá;Central;MAT-EN-10001346;Material de escritório;Envelopes;Jiffy Fita dupla face, Vermelho;188,4;2;0,4;-66
18;US-2020-126655;27/06/2020;02/07/2020;Classe padrão;GO-14785;Giovanna Oliveira;Grande Empresa;San Miguelito;Panamá;Panamá;Central;MÓV-MÓ-10002468;Móveis;Móveis;Deflect-O Moldura, Embalagem multipack;3082,8;7;0,4;-1491
19;US-2020-126655;27/06/2020;02/07/2020;Classe padrão;GO-14785;Giovanna Oliveira;Grande Empresa;San Miguelito;Panamá;Panamá;Central;MAT-EN-10004794;Material de escritório;Envelopes;GlobeWeis Malote, Prata;401,76;2;0,4;-60,64
20;US-2020-126655;27/06/2020;02/07/2020;Classe padrão;GO-14785;Giovanna Oliveira;Grande Empresa;San Miguelito;Panamá;Panamá;Central;MAT-EN-10003820;Material de escritório;Envelopes;Jiffy Envelope com fecho, Reciclado;87,84;3;0,4;-48,36
21;MX-2020-167759;20/12/2020;26/12/2020;Classe padrão;JS-15610;José Souza;Grande Empresa;San Cristóbal de Las Casas;Chiapas;México;Norte;MÓV-CA-10004369;Móveis;Cadeiras;HON Cadeira de balanço, Preto;2734,72;4;0,2;957,12
22;MX-2020-163139;30/10/2020;03/11/2020;Segunda classe;VF-21055;Victor Ferreira;Varejo;Santiago;Santiago;Chile;Sul;TEC-AC-10002771;Tecnologia;Acessórios;Enermax Mouse, Durável;270;1;0;59,4
23;MX-2020-163139;30/10/2020;03/11/2020;Segunda classe;VF-21055;Victor Ferreira;Varejo;Santiago;Santiago;Chile;Sul;MAT-MA-10000059;Material de escritório;Materiais;Acme Estilete, Retangular;2070;9;0;662,4
24;US-2021-119753;03/10/2021;08/10/2021;Classe padrão;EC-13195;Eduarda Castro;Grande Empresa;Cidade do Panamá;Panamá;Panamá;Central;MAT-FI-10002744;Material de escritório;Fichários;Acco Encadernadora, Transparente;606,6;3;0,4;-202,2
25;US-2019-133970;27/09/2019;30/09/2019;Primeira classe;SA-20215;Samuel Almeida;Varejo;Hermosillo;Sonora;México;Norte;MÓV-MÓ-10004431;Móveis;Móveis;Deflect-O Relógio de parede, Preto;1811,16;9;0,4;-755,64
26;MX-2021-120607;18/06/2021;25/06/2021;Classe padrão;SP-20620;Sophia Pereira;Grande Empresa;Milpa Alta;Distrito Federal;México;Norte;TEC-CO-10004677;Tecnologia;Copiadoras;HP Copiadora, Colorida;3261,8632;2;0,002;647,0632
27;MX-2021-120607;18/06/2021;25/06/2021;Classe padrão;SP-20620;Sophia Pereira;Grande Empresa;Cidade do México;Distrito Federal;México;Norte;MAT-AR-10000951;Material de escritório;Armazenamento;Rogers Caixa, Tamanho real;800;5;0;344
28;US-2020-167129;25/05/2020;01/06/2020;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-FI-10000837;Material de escritório;Fichários;Wilson Jones Encadernadora, Durável;1412,88;7;0,4;-730,52
29;US-2020-167129;25/05/2020;01/06/2020;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-CO-10003399;Material de escritório;Colchetes;Stockwell Percevejo niquelado, Metal;218,4;4;0,4;-32,8
30;US-2020-167129;25/05/2020;01/06/2020;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;TEC-TE-10003197;Tecnologia;Telefones;Motorola Telefone do escritório, Azul;1148,16;4;0,4;-498,24
31;US-2020-167129;25/05/2020;01/06/2020;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-AR-10003036;Material de escritório;Arte;Crayola Marcador, Azul;192,72;2;0,4;28,72
32;US-2020-167129;25/05/2020;01/06/2020;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-AC-10000856;Material de escritório;Eletrônicos;Breville Torradeira, Preto;1522,8;5;0,4;-990,2
33;US-2020-167129;25/05/2020;01/06/2020;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;TEC-CO-10004237;Tecnologia;Copiadoras;Sharp Fax, Digital;9417,7824;8;0,402;-6017,4176
34;US-2020-167129;25/05/2020;01/06/2020;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-AR-10001838;Material de escritório;Arte;Stanley Apontador, Metal;104,16;1;0,4;-7,04
35;MX-2021-100727;15/05/2021;18/05/2021;Primeira classe;EF-13510;Emily Fernandes;Grande Empresa;Cidade do México;Distrito Federal;México;Norte;MAT-MA-10002935;Material de escritório;Materiais;Fiskars Estilete, Retangular;3007,2;14;0;1290,8
36;MX-2021-100727;15/05/2021;18/05/2021;Primeira classe;EF-13510;Emily Fernandes;Grande Empresa;Cidade do México;Distrito Federal;México;Norte;MAT-MA-10001381;Material de escritório;Materiais;Acme Abridor de carta, Aço;1381,8;7;0;537,6
37;MX-2021-100727;15/05/2021;18/05/2021;Primeira classe;EF-13510;Emily Fernandes;Grande Empresa;Cidade do México;Distrito Federal;México;Norte;MAT-MA-10001508;Material de escritório;Materiais;Kleencut Estilete, Aço;908;4;0;317,6
38;MX-2021-154739;04/07/2021;07/07/2021;Segunda classe;SA-20440;Sofia Almeida;Grande Empresa;Artemisa;Artemisa;Cuba;Caribe;MÓV-ME-10004436;Móveis;Mesas;Chromcraft Mesa de centro, Retangular;5293,2;3;0;2646,6
39;MX-2021-154739;04/07/2021;07/07/2021;Segunda classe;SA-20440;Sofia Almeida;Grande Empresa;Artemisa;Artemisa;Cuba;Caribe;MÓV-ES-10001334;Móveis;Estantes;Ikea Estante, Branco;3336;4;0;1067,2
40;MX-2021-154739;04/07/2021;07/07/2021;Segunda classe;SA-20440;Sofia Almeida;Grande Empresa;Artemisa;Artemisa;Cuba;Caribe;MAT-CO-10003965;Material de escritório;Colchetes;Advantus Elásticos, Embalagem com 12;427,2;4;0;4
41;MX-2021-121398;09/12/2021;11/12/2021;Segunda classe;AA-10825;Arthur Alves;Grande Empresa;La Romana;La Romana;República Dominicana;Caribe;MAT-MA-10004629;Material de escritório;Materiais;Fiskars Cortador de papel, Retangular;624;3;0,2;85,8
42;MX-2020-121839;18/06/2020;22/06/2020;Segunda classe;RA-19690;Rafaela Alves;Varejo;Milpa Alta;Distrito Federal;México;Norte;TEC-TE-10004696;Tecnologia;Telefones;Motorola Smart Phone, Azul;3460,8;4;0;1556,8
43;MX-2021-142643;29/10/2021;02/11/2021;Classe padrão;LS-17815;Luis Souza;Varejo;San Juan del Río;Querétaro;México;Norte;TEC-MÁ-10000856;Tecnologia;Máquinas;Panasonic Inkjet, Branco;4140;2;0;455,2
44;MX-2021-142643;29/10/2021;02/11/2021;Classe padrão;LS-17815;Luis Souza;Varejo;San Juan del Río;Querétaro;México;Norte;MAT-AC-10003188;Material de escritório;Eletrônicos;Hamilton Beach Forno, Preto;7223,6;2;0;505,6
45;MX-2021-142643;29/10/2021;02/11/2021;Classe padrão;LS-17815;Luis Souza;Varejo;San Juan del Río;Querétaro;México;Norte;TEC-AC-10001296;Tecnologia;Acessórios;Memorex Mouse, Econômico;563,4;3;0;39
46;MX-2021-164959;17/01/2021;18/01/2021;No mesmo dia;LC-16960;Leonardo Correia;Pequenas e Medias Empresas;Goiânia;Goiás;Brasil;Sul;MÓV-CA-10004556;Móveis;Cadeiras;Novimex Cadeira dobrável, Par;1689,6;3;0;405
47;US-2019-151372;28/04/2019;03/05/2019;Classe padrão;AA-10240;Alice Araujo;Varejo;Santo Domingo;Distrito Nacional;República Dominicana;Caribe;MAT-AR-10003252;Material de escritório;Armazenamento;Eldon Bandejas, Metal;1254,4;5;0,2;-0,6
48;US-2019-151372;28/04/2019;03/05/2019;Classe padrão;AA-10240;Alice Araujo;Varejo;Santo Domingo;Distrito Nacional;República Dominicana;Caribe;TEC-CO-10000153;Tecnologia;Copiadoras;Canon Copiadora para uso pessoal, Colorida;1534,0752;2;0,202;361,2752
49;MX-2018-127145;13/06/2018;18/06/2018;Classe padrão;RP-20200;Ryan Pinto;Varejo;São Benedito;Ceará;Brasil;Sul;MÓV-MÓ-10003663;Móveis;Móveis;Advantus Lâmpada, Preto;267,6;2;0;74,8
50;MX-2021-100783;06/05/2021;10/05/2021;Classe padrão;MS-18205;Maria Santos;Grande Empresa;Medellín;Antioquia;Colômbia;Sul;MAT-CO-10001898;Material de escritório;Colchetes;Accos Clips de papel, Embalagem com 12;449;5;0;85
51;MX-2018-168662;14/10/2018;19/10/2018;Segunda classe;KG-16255;Kauã Gomes;Grande Empresa;Toluca;México;México;Norte;MAT-MA-10002131;Material de escritório;Materiais;Stiletto Abridor de carta, Retangular;668,8;4;0;287,2
52;US-2018-150987;03/04/2018;07/04/2018;Segunda classe;EA-13480;Emily Alves;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;TEC-CO-10004173;Tecnologia;Copiadoras;Hewlett Fax e copiadora, Par;2306,7252;3;0,402;-856,4748
53;US-2018-150987;03/04/2018;07/04/2018;Segunda classe;EA-13480;Emily Alves;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;TEC-CO-10000153;Tecnologia;Copiadoras;Canon Copiadora para uso pessoal, Colorida;1724,3928;3;0,402;-34,8072
54;US-2018-150987;03/04/2018;07/04/2018;Segunda classe;EA-13480;Emily Alves;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-AC-10000709;Material de escritório;Eletrônicos;KitchenAid Forno, Preto;6834,96;3;0,4;-797,64
55;US-2018-150987;03/04/2018;07/04/2018;Segunda classe;EA-13480;Emily Alves;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-EN-10004625;Material de escritório;Envelopes;Ames Com lacre, Reciclado;277,2;2;0,4;41,2
56;MX-2020-156013;01/06/2020;06/06/2020;Classe padrão;DS-13030;Diogo Sousa;Pequenas e Medias Empresas;Santo Domingo;Distrito Nacional;República Dominicana;Caribe;MAT-CO-10003399;Material de escritório;Colchetes;Stockwell Percevejo niquelado, Metal;218,4;3;0,2;30
57;MX-2020-156013;01/06/2020;06/06/2020;Classe padrão;DS-13030;Diogo Sousa;Pequenas e Medias Empresas;Santo Domingo;Distrito Nacional;República Dominicana;Caribe;MÓV-ES-10001838;Móveis;Estantes;Bush Par, Preto;2005,44;4;0,4;-133,76
58;MX-2018-137897;18/05/2018;21/05/2018;Segunda classe;JM-15580;José Melo;Varejo;Tulancingo;Hidalgo;México;Norte;TEC-TE-10001342;Tecnologia;Telefones;Nokia Carregador, Tamanho real;21245;5;0;4886
59;US-2018-134950;25/08/2018;29/08/2018;Classe padrão;NF-19240;Nicolash Ferreira;Varejo;Cidade do Panamá;Panamá;Panamá;Central;MAT-AR-10001866;Material de escritório;Arte;Sanford Marcadores de texto, Tamanhos variados;227,16;3;0,4;-117,84
60;MX-2020-152611;12/10/2020;18/10/2020;Classe padrão;DS-13030;Diogo Sousa;Pequenas e Medias Empresas;Pinheiro;Maranhão;Brasil;Sul;TEC-TE-10003922;Tecnologia;Telefones;Samsung Telefone do escritório, Azul;3913,2;9;0;1447,2
61;MX-2018-155488;22/10/2018;28/10/2018;Classe padrão;CS-12220;Carla Silva;Varejo;La Paz;Baixa Califórnia do Sul;México;Norte;MAT-AC-10003848;Material de escritório;Eletrônicos;Hoover Liquidificador, Branco;635,4;1;0;209,6
62;MX-2021-116337;16/05/2021;16/05/2021;No mesmo dia;MS-18205;Maria Santos;Grande Empresa;Lençóis Paulista;São Paulo;Brasil;Sul;MÓV-ES-10003326;Móveis;Estantes;Safco Estante tradicional, Metal;8752,2;3;0;1399,8
63;US-2019-164609;27/08/2019;29/08/2019;Segunda classe;LM-16885;Leila Martins;Varejo;Tegucigalpa;Francisco Morazán;Honduras;Central;MÓV-ES-10000391;Móveis;Estantes;Ikea Biblioteca, Preto;4376,88;3;0,4;-2480,52
64;MX-2021-165442;14/03/2021;17/03/2021;Primeira classe;BF-11530;Breno Ferreira;Pequenas e Medias Empresas;Ciudad Madero;Tamaulipas;México;Norte;MAT-FI-10001257;Material de escritório;Fichários;Acco Encadernadora, Reciclado;686;2;0;267,2
65;MX-2021-165442;14/03/2021;17/03/2021;Primeira classe;BF-11530;Breno Ferreira;Pequenas e Medias Empresas;Ciudad Madero;Tamaulipas;México;Norte;MAT-FI-10002581;Material de escritório;Fichários;Acco Pasta argolada, Transparente;487;5;0;175
66;US-2019-104997;06/11/2019;12/11/2019;Classe padrão;NR-19300;Nicole Ribeiro;Varejo;La Ceiba;Atlántida;Honduras;Central;MÓV-ME-10000799;Móveis;Mesas;HON Mesa de treinamento, Retangular;1321,08;2;0,7;-924,92
67;MX-2018-165673;01/06/2018;06/06/2018;Classe padrão;NS-19210;Nicolas Souza;Grande Empresa;Guantânamo;Guantânamo;Cuba;Caribe;MAT-PA-10002155;Material de escritório;Papel;Eaton Papel de pergaminho, Premium;179,6;2;0;57,2
68;MX-2018-165673;01/06/2018;06/06/2018;Classe padrão;NS-19210;Nicolas Souza;Grande Empresa;Guantânamo;Guantânamo;Cuba;Caribe;TEC-CO-10003597;Tecnologia;Copiadoras;Hewlett Fax e copiadora, Vermelho;6356,262;5;0,002;2661,262
69;MX-2020-164021;24/07/2020;30/07/2020;Classe padrão;BC-11140;Beatriz Castro;Varejo;Bello;Antioquia;Colômbia;Sul;MÓV-ES-10004606;Móveis;Estantes;Sauder Estante tradicional, Preto;8746,8;3;0;4110,6
70;MX-2020-164021;24/07/2020;30/07/2020;Classe padrão;BC-11140;Beatriz Castro;Varejo;Bello;Antioquia;Colômbia;Sul;MÓV-MÓ-10003988;Móveis;Móveis;Deflect-O Lâmpada, Preto;759,6;6;0;379,2
71;US-2021-120194;12/09/2021;19/09/2021;Classe padrão;VD-21445;Vitór Dias;Grande Empresa;Abreu e Lima;Pernambuco;Brasil;Sul;MÓV-ME-10001141;Móveis;Mesas;Chromcraft Mesa de conferência, Retangular;9282,56;2;0,2;-812,24
72;US-2018-132388;24/02/2018;28/02/2018;Classe padrão;GM-14470;Gabriela Martins;Varejo;Santo Domingo;Distrito Nacional;República Dominicana;Caribe;TEC-MÁ-10004627;Tecnologia;Máquinas;Okidata Impressora, Durável;1074,48;2;0,7;-1217,92
73;MX-2019-156720;18/02/2019;23/02/2019;Classe padrão;FC-14200;Felipe Costa;Grande Empresa;Monterrey;Novo Leão;México;Norte;MAT-MA-10002650;Material de escritório;Materiais;Stiletto Cortador de papel, Azul;285;1;0;122,4
74;MX-2019-156720;18/02/2019;23/02/2019;Classe padrão;FC-14200;Felipe Costa;Grande Empresa;Monterrey;Novo Leão;México;Norte;TEC-AC-10003433;Tecnologia;Acessórios;Memorex Pen drive, Econômico;980;5;0;205
75;MX-2019-156720;18/02/2019;23/02/2019;Classe padrão;FC-14200;Felipe Costa;Grande Empresa;Monterrey;Novo Leão;México;Norte;MAT-FI-10004660;Material de escritório;Fichários;Cardinal Divisórias, Transparente;89,6;2;0;39,2
76;MX-2019-156720;18/02/2019;23/02/2019;Classe padrão;FC-14200;Felipe Costa;Grande Empresa;Monterrey;Novo Leão;México;Norte;MAT-EN-10001718;Material de escritório;Envelopes;Jiffy Com lacre, Vermelho;1357;5;0;312
77;US-2021-157630;25/06/2021;29/06/2021;Classe padrão;LB-16915;Leonardo Barbosa;Varejo;Lima;Lima;Peru;Sul;MAT-MA-10003427;Material de escritório;Materiais;Fiskars Tesouras, Azul;185,28;2;0,4;-83,52
78;US-2021-157630;25/06/2021;29/06/2021;Classe padrão;LB-16915;Leonardo Barbosa;Varejo;Lima;Lima;Peru;Sul;MAT-AR-10002257;Material de escritório;Armazenamento;Smead Armários, Tamanho real;1587,6;2;0,4;158,4
79;US-2021-157630;25/06/2021;29/06/2021;Classe padrão;LB-16915;Leonardo Barbosa;Varejo;Lima;Lima;Peru;Sul;MAT-MA-10000797;Material de escritório;Materiais;Kleencut Tesouras, Retangular;1217,16;7;0,4;-20,44
80;US-2018-119935;14/06/2018;18/06/2018;Classe padrão;KB-16465;Kauê Barbosa;Varejo;San Miguelito;Panamá;Panamá;Central;MÓV-MÓ-10000525;Móveis;Móveis;Tenex Lâmpada, Embalagem multipack;227,88;3;0,4;-7,92
81;US-2018-119935;14/06/2018;18/06/2018;Classe padrão;KB-16465;Kauê Barbosa;Varejo;San Miguelito;Panamá;Panamá;Central;MÓV-CA-10003783;Móveis;Cadeiras;Office Star Cadeira de praia, Par;3230,64;14;0,4;-1240,96
82;US-2018-119935;14/06/2018;18/06/2018;Classe padrão;KB-16465;Kauê Barbosa;Varejo;San Miguelito;Panamá;Panamá;Central;TEC-AC-10002930;Tecnologia;Acessórios;Enermax Cartão de memória, Durável;1375,2;3;0,4;-229,2
83;US-2018-119935;14/06/2018;18/06/2018;Classe padrão;KB-16465;Kauê Barbosa;Varejo;San Miguelito;Panamá;Panamá;Central;MAT-AR-10002860;Material de escritório;Arte;Crayola Marcadores de texto, Tamanhos variados;395,4;5;0,4;-198,6
84;MX-2020-119970;26/06/2020;02/07/2020;Classe padrão;MS-18220;Maria Silva;Varejo;Cidade do México;Distrito Federal;México;Norte;MAT-AR-10002439;Material de escritório;Armazenamento;Eldon Armários, Tamanho real;2639,2;2;0;52,4
85;MX-2020-119970;26/06/2020;02/07/2020;Classe padrão;MS-18220;Maria Silva;Varejo;Cidade do México;Distrito Federal;México;Norte;MAT-MA-10003141;Material de escritório;Materiais;Elite Cortador de papel, Industrial;1443;5;0;360
86;MX-2021-165925;23/01/2021;28/01/2021;Classe padrão;CG-12355;Carolina Goncalves;Varejo;Tuxtla Gutiérrez;Chiapas;México;Norte;MAT-PA-10002524;Material de escritório;Papel;Green Bar Cadernetas, Multicolorido;367,2;3;0;102,6
87;MX-2021-137365;18/06/2021;23/06/2021;Classe padrão;MP-18760;Matheus Pinto;Varejo;Piedras Negras;Coahuila;México;Norte;MAT-CO-10001542;Material de escritório;Colchetes;OIC Clips de papel, Embalagem tipo bulk;769,6;8;0;99,2
88;MX-2021-137365;18/06/2021;23/06/2021;Classe padrão;MP-18760;Matheus Pinto;Varejo;Piedras Negras;Coahuila;México;Norte;MÓV-MÓ-10000743;Móveis;Móveis;Eldon Peso de porta, Premium;390,24;2;0,4;-19,76
89;MX-2019-158981;29/12/2019;02/01/2020;Classe padrão;TA-20845;Thaís Alves;Varejo;Tijuana;Baixa Califórnia;México;Norte;TEC-AC-10003695;Tecnologia;Acessórios;Memorex Teclado, Econômico;1426,8;3;0;327,6
90;MX-2019-158981;29/12/2019;02/01/2020;Classe padrão;TA-20845;Thaís Alves;Varejo;Tijuana;Baixa Califórnia;México;Norte;MÓV-ES-10000469;Móveis;Estantes;Dania Biblioteca, Preto;5820;3;0,2;2182,2
91;MX-2019-158981;29/12/2019;02/01/2020;Classe padrão;TA-20845;Thaís Alves;Varejo;Tijuana;Baixa Califórnia;México;Norte;MAT-FI-10002102;Material de escritório;Fichários;Ibico Reforço para fichário, Econômico;419,4;9;0;0
92;MX-2019-158981;29/12/2019;02/01/2020;Classe padrão;TA-20845;Thaís Alves;Varejo;Tijuana;Baixa Califórnia;México;Norte;MAT-EN-10002793;Material de escritório;Envelopes;Ames Com lacre, Prata;2550;10;0;918
93;MX-2020-169292;24/04/2020;28/04/2020;Classe padrão;AF-10780;Anna Ferreira;Grande Empresa;Chihuahua;Chihuahua;México;Norte;MAT-PA-10000782;Material de escritório;Papel;Xerox Cadernetas, Embalagem com 12;589;5;0;153
94;MX-2020-169292;24/04/2020;28/04/2020;Classe padrão;AF-10780;Anna Ferreira;Grande Empresa;Chihuahua;Chihuahua;México;Norte;MAT-EN-10002322;Material de escritório;Envelopes;Kraft Envelope kraft, Conjunto de 50;883;5;0;88
95;MX-2020-169292;24/04/2020;28/04/2020;Classe padrão;AF-10780;Anna Ferreira;Grande Empresa;Chihuahua;Chihuahua;México;Norte;MAT-CO-10000354;Material de escritório;Colchetes;Stockwell Percevejo niquelado, Metal;176,8;2;0;22,8
96;MX-2018-112319;20/04/2018;26/04/2018;Classe padrão;KB-16465;Kauê Barbosa;Varejo;Natal;Rio Grande do Norte;Brasil;Sul;MÓV-ES-10001958;Móveis;Estantes;Dania Par, Preto;5759,6;7;0;1208,2
97;MX-2018-112319;20/04/2018;26/04/2018;Classe padrão;KB-16465;Kauê Barbosa;Varejo;Natal;Rio Grande do Norte;Brasil;Sul;TEC-AC-10001104;Tecnologia;Acessórios;Enermax Pen drive, Econômico;553,6;2;0;16,4
98;MX-2018-149986;22/10/2018;26/10/2018;Classe padrão;ÁC-10075;Ágatha Correia;Grande Empresa;Managua;Managua;Nicarágua;Central;MAT-AR-10004870;Material de escritório;Armazenamento;Smead Pratelheiras, Metal;960;3;0;48
99;US-2020-125892;09/08/2020;11/08/2020;Primeira classe;MA-18400;Marisa Almeida;Varejo;Santo Domingo;Distrito Nacional;República Dominicana;Caribe;MÓV-CA-10003783;Móveis;Cadeiras;Office Star Cadeira de praia, Par;923,04;3;0,2;-35,16
100;US-2020-125892;09/08/2020;11/08/2020;Primeira classe;MA-18400;Marisa Almeida;Varejo;Santo Domingo;Distrito Nacional;República Dominicana;Caribe;MAT-PA-10002996;Material de escritório;Papel;Eaton Resma, Premium;849,6;6;0,2;-54
101;MX-2020-158533;14/12/2020;19/12/2020;Segunda classe;JG-15850;Julian Gomes;Varejo;Mixco;Guatemala;Guatemala;Central;TEC-AC-10003185;Tecnologia;Acessórios;Logitech Roteador, Econômico;4946,4;3;0;1978,2
102;MX-2020-165708;05/12/2020;10/12/2020;Classe padrão;CC-12040;Camila Costa;Pequenas e Medias Empresas;Camagüey;Camagüey;Cuba;Caribe;MAT-CO-10001674;Material de escritório;Colchetes;Stockwell Alfinetes, Tamanhos variados;394;5;0;51
103;US-2020-103051;05/11/2020;11/11/2020;Classe padrão;VC-21400;Vitor Cardoso;Varejo;Ocotlán;Jalisco;México;Norte;MÓV-CA-10002289;Móveis;Cadeiras;Office Star Cadeira dobrável, Vermelho;2445,6;5;0,2;-275,4
104;US-2020-103051;05/11/2020;11/11/2020;Classe padrão;VC-21400;Vitor Cardoso;Varejo;Ocotlán;Jalisco;México;Norte;MAT-AR-10002650;Material de escritório;Arte;Sanford Canetas, Metal;164,8;2;0;22,8
105;MX-2020-151988;01/12/2020;03/12/2020;Segunda classe;NC-19150;Nicolas Castro;Varejo;Cholula;Puebla;México;Norte;MAT-EN-10004878;Material de escritório;Envelopes;Jiffy Envelope com fecho, Conjunto de 50;56,8;1;0;22,6
106;MX-2019-141915;11/10/2019;17/10/2019;Classe padrão;LS-17350;Livia Santos;Varejo;Cidade do México;Distrito Federal;México;Norte;MÓV-CA-10003721;Móveis;Cadeiras;HON Protetor de piso, Vermelho;2665,44;9;0,2;66,24
